description,industry,level,size,line_code,value,Unit,Footnotes
Importance of innovation: not important,"Food, beverage, & tobacco",2,total,C0205.01,15,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,"Textile, clothing, footwear, & leather",2,total,C0205.01,9,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,Wood & paper product,2,total,C0205.01,24,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,"Printing, publishing, & recorded media",2,total,C0205.01,6,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,"Petroleum, coal, chemical, & associated product",2,total,C0205.01,0,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,Non-metallic mineral product,2,total,C0205.01,9,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,Metal product,2,total,C0205.01,42,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,Transport and industrial machinery & equipment,2,total,C0205.01,48,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,Other machinery & equipment,2,total,C0205.01,0,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,Other manufacturing,2,total,C0205.01,9,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,"Electricity, gas, water, & waste services",1,total,C0205.01,18,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of innovation: not important,Construction,1,total,C0205.01,381,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,Wholesale trade,1,total,C0205.01,150,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,Machinery & equipment wholesaling,2,total,C0205.01,33,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,Other wholesale trade,2,total,C0205.01,114,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,Retail trade,1,total,C0205.01,234,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,Accommodation & food services,1,total,C0205.01,699,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,"Transport, postal, & warehousing",1,total,C0205.01,153,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,Information media & telecommunications,1,total,C0205.01,9,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,Publishing,2,total,C0205.01,0,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,Motion picture,2,total,C0205.01,6,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,Telecommunications,2,total,C0205.01,0,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,Financial & insurance services,1,total,C0205.01,54,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,Finance,2,total,C0205.01,24,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,Insurance,2,total,C0205.01,3,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,Auxiliary,2,total,C0205.01,30,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,"Rental, hiring, & real estate services",1,total,C0205.01,123,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,"Professional, scientific, & technical services",1,total,C0205.01,75,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,Computer systems design,2,total,C0205.01,21,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,Other professional scientific,2,total,C0205.01,57,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,Administrative & support services,1,total,C0205.01,171,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,Education & training,1,total,C0205.01,105,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,Health care & social assistance,1,total,C0205.01,120,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,Arts & recreation services,1,total,C0205.01,21,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,Other services,1,total,C0205.01,93,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,total,0,total,C0205.01,3042,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: a little important,total,0,6019 employees,C0205.02,9564,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of innovation: a little important,total,0,20049 employees,C0205.02,2106,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of innovation: a little important,total,0,50099 employees,C0205.02,624,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of innovation: a little important,total,0,100+ employees,C0205.02,465,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of innovation: a little important,"Agriculture, forestry, & fishing",1,total,C0205.02,957,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: a little important,Agriculture,2,total,C0205.02,624,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: a little important,Commercial fishing,2,total,C0205.02,15,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: a little important,Forestry & logging,2,total,C0205.02,60,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: a little important,"Agriculture, forestry, & fishing support services",2,total,C0205.02,258,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: a little important,Mining,1,total,C0205.02,33,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of innovation: a little important,Manufacturing,1,total,C0205.02,1266,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: a little important,"Food, beverage, & tobacco",2,total,C0205.02,246,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: a little important,"Textile, clothing, footwear, & leather",2,total,C0205.02,60,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: a little important,Wood & paper product,2,total,C0205.02,222,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: a little important,"Printing, publishing, & recorded media",2,total,C0205.02,48,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: a little important,"Petroleum, coal, chemical, & associated product",2,total,C0205.02,111,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: a little important,Non-metallic mineral product,2,total,C0205.02,51,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: a little important,Metal product,2,total,C0205.02,261,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: a little important,Transport and industrial machinery & equipment,2,total,C0205.02,183,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: a little important,Other machinery & equipment,2,total,C0205.02,21,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: a little important,Other manufacturing,2,total,C0205.02,66,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: a little important,"Electricity, gas, water, & waste services",1,total,C0205.02,48,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of innovation: a little important,Construction,1,total,C0205.02,1890,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: a little important,Wholesale trade,1,total,C0205.02,765,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: a little important,Machinery & equipment wholesaling,2,total,C0205.02,204,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: a little important,Other wholesale trade,2,total,C0205.02,558,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: a little important,Retail trade,1,total,C0205.02,1302,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: a little important,Accommodation & food services,1,total,C0205.02,2385,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: a little important,"Transport, postal, & warehousing",1,total,C0205.02,471,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: a little important,Information media & telecommunications,1,total,C0205.02,78,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: a little important,Publishing,2,total,C0205.02,27,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: a little important,Motion picture,2,total,C0205.02,36,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: a little important,Telecommunications,2,total,C0205.02,9,Number of businesses,1 and 2 and 3 and 6
